GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bibliserver,com.bibliserver.controller,LoansController,443,0,38,0,102,0,40,0,21,0
bibliserver,com.bibliserver.controller,MainController,200,0,8,0,58,0,21,0,17,0
bibliserver,com.bibliserver.controller,BooksController.new TableCell() {...},89,0,2,0,16,0,5,0,4,0
bibliserver,com.bibliserver.controller,GroupsController,343,0,18,0,83,0,22,0,13,0
bibliserver,com.bibliserver.controller,LoginController,162,0,16,0,46,0,12,0,4,0
bibliserver,com.bibliserver.controller,UsersController,393,334,30,6,89,78,22,12,6,10
bibliserver,com.bibliserver.controller,LoansController.new TableCell() {...},56,0,4,0,12,0,5,0,3,0
bibliserver,com.bibliserver.controller,GroupsController.PrivilegeWrapper,30,0,0,0,9,0,6,0,6,0
bibliserver,com.bibliserver.controller,DashboardController.PopularBook,21,0,0,0,8,0,4,0,4,0
bibliserver,com.bibliserver.controller,DashboardController,333,0,12,0,75,0,22,0,16,0
bibliserver,com.bibliserver.controller,BooksController,317,0,6,0,84,0,16,0,13,0
bibliserver,com.bibliserver,Main,36,0,0,0,10,0,3,0,3,0
bibliserver,com.bibliserver.dao,LoanDAO,109,196,10,4,29,51,10,5,3,5
bibliserver,com.bibliserver.dao,PermissionDAO,253,0,10,0,62,0,13,0,8,0
bibliserver,com.bibliserver.dao,GroupDAO,293,262,16,12,76,64,21,9,9,7
bibliserver,com.bibliserver.dao,DuplicateUserException,4,5,0,0,2,2,1,1,1,1
bibliserver,com.bibliserver.dao,BookDAO,155,148,7,3,40,35,9,4,4,4
bibliserver,com.bibliserver.dao,UserDAO,147,185,18,8,36,48,16,7,4,6
bibliserver,com.bibliserver.model,Group,25,52,2,0,7,22,5,12,4,12
bibliserver,com.bibliserver.model,User,9,45,0,0,4,19,1,13,1,13
bibliserver,com.bibliserver.model,Loan,28,63,4,0,7,26,6,14,4,14
bibliserver,com.bibliserver.model,Permission,96,0,10,0,27,0,19,0,14,0
bibliserver,com.bibliserver.model,GroupPermission,43,0,0,0,18,0,10,0,10,0
bibliserver,com.bibliserver.model,Privilege,36,0,0,0,15,0,8,0,8,0
bibliserver,com.bibliserver.model,Book,21,63,0,0,8,27,2,18,2,18
bibliserver,com.bibliserver.util,SecurityUtil,150,8,38,0,40,2,26,2,7,2
bibliserver,com.bibliserver.util,DatabaseUtil,89,21,9,5,24,7,9,4,4,2
bibliserver,com.bibliserver.util,ToastUtil,9,106,1,1,2,26,3,2,2,2
